Name,Internal name,Type,Description,Group name,Form field,Options,Read only value,Read only definition,Calculated,External options,Deleted,HubSpot defined,Created user,Usages,Fill rate
Recent Industry Previous,recent_industry_previous,string,,ai_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Recent Job Change Date,recent_job_change_date,date,,ai_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Average Pageviews,hs_analytics_average_page_views,number,Average number of pageviews per session for this contact. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
First Referring Site,hs_analytics_first_referrer,string,URL that referred the contact to your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.03%
Time First Seen,hs_analytics_first_timestamp,datetime,First time the contact has been seen. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
First Touch Converting Campaign,hs_analytics_first_touch_converting_campaign,string,Campaign responsible for the first touch creation of this contact.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,HubSpot,,0%
First Page Seen,hs_analytics_first_url,string,First page the contact visited on your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.08%
Time of First Session,hs_analytics_first_visit_timestamp,datetime,First time the contact visited your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.10%
Last Referring Site,hs_analytics_last_referrer,string,Last URL that referred contact to your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.03%
Time Last Seen,hs_analytics_last_timestamp,datetime,Timestamp for most recent webpage view on your website.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.10%
Last Touch Converting Campaign,hs_analytics_last_touch_converting_campaign,string,Campaign responsible for the last touch creation of this contact.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,HubSpot,,0%
Last Page Seen,hs_analytics_last_url,string,Last page the contact visited on your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Report (4),0.10%
Time of Last Session,hs_analytics_last_visit_timestamp,datetime,Timestamp for start of the most recent session for this contact to your website.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.10%
Number of event completions,hs_analytics_num_event_completions,number,Total number of events for this contact. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
Number of Pageviews,hs_analytics_num_page_views,number,Total number of page views this contact has had on your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
Number of Sessions,hs_analytics_num_visits,number,Number of times a contact has come to your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
Event Revenue,hs_analytics_revenue,number,Set event revenue on a contact though the Enterprise Events feature. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
Original Traffic Source,hs_analytics_source,enumeration,"First known source the contact used to find your website. Set automatically, but may be updated manually.",analyticsinformation,FALSE,Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Report (1),100%
Original Traffic Source Drill-Down 1,hs_analytics_source_data_1,string,Additional information about the source the contact used to find your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,75.57%
Original Traffic Source Drill-Down 2,hs_analytics_source_data_2,string,Additional information about the source the contact used to find your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,75.31%
Latest Traffic Source,hs_latest_source,enumeration,The source of the latest session for a contact,analyticsinformation,FALSE,Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
Latest Traffic Source Drill-Down 1,hs_latest_source_data_1,string,Additional information about the latest source for the last session the contact used to find your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,75.57%
Latest Traffic Source Drill-Down 2,hs_latest_source_data_2,string,Additional information about the source for the last session the contact used to find your website. Set automatically.,analyticsinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,75.29%
Latest Traffic Source Date,hs_latest_source_timestamp,datetime,The time of the latest session for a contact,analyticsinformation,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,100%
After-hours contact OK,afterhours_contact_ok,enumeration,Indicates whether this contact has given permission to be contacted outside of regular business hours,communication_preferences,TRUE,Yes (true); No (false),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Do not contact - phone,do_not_contact__phone,enumeration,Indicates whether this contact should not be contacted via phone due to their preference or compliance reasons,communication_preferences,TRUE,Yes (true); No (false),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
LinkedIn messaging opt-in,linkedin_messaging_optin,enumeration,Indicates whether the contact has agreed to receive LinkedIn messages,communication_preferences,TRUE,Yes (true); No (false),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Meeting preference,meeting_preference,enumeration,The preferred method of meeting or communication for this contact,communication_preferences,TRUE,Virtual only (virtual_only); Phone only (phone_only); In-person preferred (inperson_preferred); Mixed virtual/in-person (mixed_virtualinperson); No meetings (email only) (no_meetings_email_only),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Secondary communication channel,secondary_communication_channel,enumeration,Backup channel for contacting this contact when primary channel is unresponsive.,communication_preferences,TRUE,Email (email); Phone (phone); SMS/Text (smstext); LinkedIn (linkedin); Video Call (video_call); In-Person (inperson); Chat (chat),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Call recording consent,call_recording_consent,enumeration,Indicates whether the contact has provided consent for call recording.,compliance_&_consent,TRUE,Yes (true); No (false),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Do not contact - email,do_not_contact__email,enumeration,Indicates whether the contact has requested not to be contacted via email,compliance_&_consent,TRUE,Yes (true); No (false),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Currently in workflow (discontinued),currentlyinworkflow,enumeration,True when contact is enrolled in a workflow.,contact_activity,FALSE,True (true); False (false),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Date of last meeting booked in meetings tool,engagements_last_meeting_booked,datetime,"The date of the last meeting that has been scheduled by a contact through the meetings tool. If multiple meetings have been scheduled, the date of the last chronological meeting in the timeline is shown.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.10%
Campaign of last booking in meetings tool,engagements_last_meeting_booked_campaign,string,UTM parameter for marketing campaign (e.g. a specific email) responsible for recent meeting booking. Only populated when tracking parameters are included in meeting link.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Medium of last booking in meetings tool,engagements_last_meeting_booked_medium,string,UTM parameter for the channel (e.g. email)  responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Source of last booking in meetings tool,engagements_last_meeting_booked_source,string,UTM parameter for the site (e.g. Twitter) responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
First Conversion Date,first_conversion_date,datetime,Date  this  contact  first  submitted  a  form.,contact_activity,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,HubSpot,Sales view (5),0.10%
First Conversion,first_conversion_event_name,string,First form this contact submitted.,contact_activity,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,HubSpot,Report (4); Sales view (5),0.10%
Membership Notes,hs_content_membership_notes,string,Notes relating to the contact's content membership.,contact_activity,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,7.48%
Status,hs_content_membership_status,enumeration,Status of the contact's content membership.,contact_activity,FALSE,Active (active) [READ-ONLY]; Inactive (inactive) [READ-ONLY],FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Object requirement (1); Properties v3 card (1),0.25%
Last Engagement Date,hs_last_sales_activity_timestamp,datetime,"The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (1),6.70%
Recent Sales Email Clicked Date,hs_sales_email_last_clicked,datetime,The last time a tracked sales email was clicked by this user,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.78%
Recent Sales Email Opened Date,hs_sales_email_last_opened,datetime,The last time a tracked sales email was opened by this contact. This property does not update for emails that were sent to more than one contact.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,5.79%
Recent Sales Email Replied Date,hs_sales_email_last_replied,datetime,The last time a tracked sales email to this contact was replied to. This is set automatically by HubSpot.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,19.50%
Currently in Sequence,hs_sequences_is_enrolled,bool,A yes/no field that indicates whether the contact is currently in a Sequence.,contact_activity,FALSE,True (true); False (false),TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,HubSpot,Sales view (1),0%
Last Added Sequence Completed Step,last_added_sequence_completed_step,string,,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Report (1),1.91%
Last Added Sequence Due Date,last_added_sequence_due_date,string,,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,3.17%
Last Added Sequence Name,last_added_sequence_name,string,,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,3.32%
LinkedIn Connection Date,linkedin_connection_date,date,,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Inbounddb lists (1); Sales view (13); Properties v3 card (2),2.97%
Message,message,string,A default property to be used for any message or comments a contact may want to leave on a form.,contact_activity,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Last Contacted,notes_last_contacted,datetime,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Inbounddb lists (1); Sales view (7); Properties v3 card (1),17.76%
Last Activity Date,notes_last_updated,datetime,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Inbounddb lists (3); Sales view (14); Properties v3 card (1),23.80%
Next Activity Date,notes_next_activity_date,datetime,The date of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.,contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (1),0.10%
Number of times contacted,num_contacted_notes,number,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (2),30.96%
Number of Sales Activities,num_notes,number,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record.",contact_activity,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (1),86.73%
Person - Last activity date,person___last_activity_date,date,Person - Last activity date,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Object requirement (1),2.97%
Person - Last Email Received,person___last_email_received,date,Person - Last Email Received,contact_activity,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Object requirement (1); Sales view (1),6.57%
Street Address,address,string,"Contact's street address, including apartment or unit number.",contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Object requirement (1); Sales view (11),13.63%
AI Personality Coaching,ai_personality_coaching,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.68%
LinkMatch Summary,ai_summary,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Object requirement (1); Sales view (9); Properties v3 card (2),5.72%
Annual Revenue,annualrevenue,string,Annual company revenue,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Apollo Phone HQ,apollo_phone1,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.43%
Apollo Phone2,apollo_phone2,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Batch enrichment,batch_enrichment,enumeration,"When this property is useful:

As a workflow trigger or filter, e.g., “Batch enrichment is Ready” → send this contact’s ID into the batch endpoint.​

As a status marker for reporting (who was included in a batch, who failed, etc.).​

",contactinformation,TRUE,not scheduled; queued; processed; error,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Best Time,best_time,enumeration,Optimal time to contact based on role,contactinformation,FALSE,Early Morning (7-9 AM); Mid-Morning (9-11 AM); Midday (11 AM-2 PM); Afternoon (2-5 PM); Evening (5-8 PM); Anytime,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Sales view (1); Association table card (1),96.05%
Birthday,birthday,date,Date of Birth,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Inbounddb lists (1); Sales view (17); Properties v3 card (2),2.72%
Brain Mode Expansion - Reco's,brain_mode_expansion___reco_s,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.03%
Call Framework,call_framework,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.03%
City,city,string,A contact's city of residence,contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Object requirement (1); Sales view (6); Properties v3 card (1),80.73%
Company Name,company,string,Name of the contact's company. This can be set independently from the name property on the contact's associated company.,contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Inbounddb lists (1); Object requirement (1); Sales view (31); Properties v3 card (2),40.73%
Company News,company_news,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Properties list card (1),0.28%
Connection Date,connection_date,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Sales view (17); Properties v3 card (2),5.99%
Connection Degree Level,connection_degree_level,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Sales view (7),8.19%
Contact Grade,contact_grade,enumeration,"A+ = Ambassador = more than one referral in the past 12 months
A = Champion = one referral (regardless of outcome) in the past 12 months
B = Potential Champion = I am still determining.
C = Referral who has been referred in the last three years
D = Drip campaign/email blasts from contacts Apollo/Sales Nav/etc.
CB = Current Borrower
PB = Potential Borrower - Somewhere in the loan process.
US = Unsubscribe
X = Delete. There is no chance of moving up the funnel or being unqualified.
H = Harvest
P = Partner ",contactinformation,TRUE,A+; A; B; D; Unsubscribe; Current Borrower  (CB); Potential Borrower (PB); X - Delete (X); Harvest (H),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Inbounddb lists (1); Sales view (16); Properties v3 card (2),9.37%
Content depth,content_depth,enumeration,"Env var: SA_QUALITY_LEVEL with values like short, standard, deep.​

In app.py, read it once near the top and adjust prompts:

short → fewer tokens, more direct copy.

standard → what you have now.

deep → ask for more context and allow higher max_tokens.",contactinformation,TRUE,brief; standard; deep,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Corporate Phone,corporate_phone,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Sales view (3),27.30%
Country/Region,country,string,"The contact's country/region of residence. This might be set via import, form, or integration.",contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (8),79.80%
Create Date,createdate,datetime,The date that a contact entered the system,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Report (9); Sales view (26); Properties v3 card (1),100%
Deal urgency level,deal_urgency_level,enumeration,"Indicates how urgent the current deal is, helping prioritize contact follow-up and actions.",contactinformation,TRUE,High (high); Moderate (moderate); Low (low); Exploring/Research Phase (exploringresearch_phase),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.05%
Degree,degree,string,Contact's degree. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (2); Properties v3 card (1),0.43%
Education,education,string,from Linkedin,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Sales view (2); Properties v3 card (2),7.63%
Email,email,string,A contact's email address,contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Form (3); Object requirement (1); Report (1); Data sync mapping (1); Sales view (31); Properties v3 card (3),90.98%
Email Framework,email_framework,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.03%
Email Provider - Enrichment,email_provider___enrichment,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.55%
Facebook Profile,facebook_profile,string,,contactinformation,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.15%
Fax Number,fax,string,A contact's primary fax number,contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Data sync mapping (1),0.18%
First Name,firstname,string,A contact's first name,contactinformation,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Form (1); Inbounddb lists (1); Object requirement (1); Data sync mapping (1); Sales view (6),99.77%
Framework body,framework_body,string,,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Framework feed,framework_feed,string," Activity logging (Note)
Goal: leave a clear timeline breadcrumb when Sales Angel runs.​

Use HubSpot’s Engagements/CRM v3 API to create a Note:

Title: “Sales Angel frameworks generated”.

Body: short summary (e.g., quality level, which frameworks were generated, timestam",contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Framework Freshness,framework_freshness,enumeration,,contactinformation,TRUE,Not Generated; Generated - fresh; Needs refresh; Framework used,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Framework subject,framework_subject,string,"Goal: make Email Variant 1 plug‑and‑play for sequences/templates.​



",contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Graduation date,graduation_date,string,Contact's graduation date. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (2),0.05%
Enrichment opt out,hs_contact_enrichment_opt_out,bool,,contactinformation,FALSE,Yes (true); No (false),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.03%
Enrichment opt out timestamp,hs_contact_enrichment_opt_out_timestamp,datetime,Timestamp of when the contact opted out of being included in the HubSpot Enrichment database,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0.03%
Member email,hs_content_membership_email,string,Email used to send private content information to members,contactinformation,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,1.08%
Email Confirmed,hs_content_membership_email_confirmed,bool,Email Confirmation status of user of Content Membership,contactinformation,FALSE,True (true); False (false),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (2),0%
Time enrolled in registration follow up emails,hs_content_membership_follow_up_enqueued_at,datetime,The time when the contact was first enrolled in the registration follow up email flow,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Registered At,hs_content_membership_registered_at,datetime,Datetime at which this user was set up for Content Membership,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Domain to which registration email was sent,hs_content_membership_registration_domain_sent_to,string,Domain to which the registration invitation email for Content Membership was sent to,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Time registration email was sent,hs_content_membership_registration_email_sent_at,datetime,Datetime at which this user was sent a registration invitation email for Content Membership,contactinformation,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,HubSpot,,0%
Country/Region Code,hs_country_region_code,string,The contact's two-letter country code.,contactinformation,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,HubSpot,Sales view (3),2.80%
Created by user ID,hs_created_by_user_id,number,The user who created this record. This value is set automatically by HubSpot.,contactinformation,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,HubSpot,,27.86%
Email Domain,hs_email_domain,string,A contact's email address domain,contactinformation,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,HubSpot,,90.98%
ID of first engagement,hs_first_engagement_object_id,number,The object id of the current contact owner's first engagement with the contact.,contactinformation,FALSE,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,HubSpot,,13.88%
